RunID;SPL Name;Coverage Type;Product Index;FTS States;FTS Transitions;Test Cases;Total Test Actions;Coverage(%);Projection Time(ms);Test Generation Time(ms);Transformation Time(ms);Test Execution Time(ms);Test Generation Peak Memory(MB);Test Execution Peak Memory(MB);Wall Clock Time(ms);Segment Sum Time(ms)
3;Tesla;pair;17;29;34;5;107;100;0,77;0,21;1,07;0,26;14,29;14,29;3,97;2,3
3;Tesla;state;18;33;56;4;93;100;0,91;1,07;0;0,22;15,29;15,29;2,6;2,2
3;Tesla;transition;18;33;56;16;56;100;0,83;5,24;0;0,99;16,29;17,29;7,83;7,06
3;Tesla;pair;18;33;56;36;960;100;0,89;0,46;13,51;1,66;20,29;21,29;20,19;16,51
3;Tesla;state;19;31;48;4;91;100;0,74;0,57;0;0,12;22,29;22,29;1,83;1,44
3;Tesla;transition;19;31;48;12;48;100;0,48;3,34;0;0,63;23,29;24,29;5,15;4,45
3;Tesla;pair;19;31;48;26;685;100;0,63;0,38;8,63;1,22;26,29;27,29;13,77;10,86
3;Tesla;state;20;28;32;2;35;100;0,55;0,65;0;0,08;28,29;28,29;1,71;1,27
3;Tesla;transition;20;28;32;5;32;100;0,5;1,79;0;0,29;28,29;29,29;3,17;2,58
3;Tesla;pair;20;28;32;5;106;100;0,51;0,14;0,91;0,16;29,29;30,29;2,74;1,72
3;Tesla;state;21;28;32;2;38;100;0,46;0,62;0;0,06;30,29;30,29;1,47;1,14
3;Tesla;transition;21;28;32;4;32;100;0,38;1,34;0;0,18;31,29;31,29;2,4;1,9
3;Tesla;pair;21;28;32;5;106;100;0,48;0,18;0,95;0,13;32,29;32,29;2,97;1,74
3;Tesla;state;22;29;36;2;39;100;0,57;0,66;0;0,1;33,29;33,29;1,82;1,32
3;Tesla;transition;22;29;36;7;36;100;0,53;2,22;0;0,37;34,29;34,29;3,75;3,12
3;Tesla;pair;22;29;36;9;214;100;0,6;0,26;2,28;0,42;35,29;35,29;5,36;3,57
3;Tesla;state;23;28;32;2;38;100;0,56;0,71;0;0,09;36,29;36,29;1,73;1,36
3;Tesla;transition;23;28;32;4;32;100;0,45;1,53;0;0,23;37,29;37,29;2,75;2,21
3;Tesla;pair;23;28;32;5;106;100;0,52;0,24;1,16;0,2;38,29;38,29;3,47;2,12
3;Tesla;state;24;33;62;3;68;100;0,77;0,94;0;0,16;39,29;39,29;2,28;1,87
3;Tesla;transition;24;33;62;20;62;100;0,64;6,44;0;1,17;40,29;41,29;9,17;8,24
3;Tesla;pair;24;33;62;52;1405;100;0,74;0,57;25,92;2,68;45,29;47,29;34,59;29,91
3;Tesla;state;25;30;38;2;40;100;0,64;0,8;0;0,1;48,29;48,29;2;1,54
3;Tesla;transition;25;30;38;8;38;100;0,54;2,56;0;0,42;49,29;49,29;4,18;3,52
3;Tesla;pair;25;30;38;9;215;100;0,59;0,28;2,3;0,38;50,29;50,29;5,35;3,55
3;Tesla;state;26;28;32;2;38;100;0,72;0,96;0;0,1;51,29;51,29;2,26;1,78
3;Tesla;transition;26;28;32;4;32;100;0,57;1,76;0;0,21;52,29;52,29;3,04;2,54
3;Tesla;pair;26;28;32;5;106;100;0,53;0,24;1,13;0,21;53,29;53,29;3,48;2,1
3;Tesla;state;27;30;38;2;40;100;0,53;0,75;0;0,17;54,29;54,29;1,89;1,45
3;Tesla;transition;27;30;38;6;38;100;0,85;2,62;0;0,49;55,29;55,29;4,63;3,96
3;Tesla;pair;27;30;38;10;240;100;0,79;0,33;3,02;0,66;56,29;56,29;7,15;4,8
3;Tesla;state;28;32;49;3;67;100;1,1;1,15;0;0,23;57,29;57,29;2,98;2,48
3;Tesla;transition;28;32;49;12;49;100;0,64;3,76;0;0,96;58,29;59,29;6,07;5,36
3;Tesla;pair;28;32;49;24;627;100;0,82;0,97;7,72;1,75;61,29;62,29;14,55;11,26
3;Tesla;state;29;29;39;3;64;100;0,68;0,77;0;0,15;62,29;62,29;2,03;1,61
3;Tesla;transition;29;29;39;9;39;100;0,67;2,78;0;0,61;63,29;64,29;4,68;4,06
3;Tesla;pair;29;29;39;15;377;100;0,74;0,3;5,04;0,94;65,29;66,29;9,57;7,02
3;Tesla;state;30;29;36;2;39;100;0,83;0,91;0;0,14;66,29;66,29;2,3;1,87
3;Tesla;transition;30;29;36;7;36;100;0,71;2,66;0;0,52;67,29;68,29;4,55;3,9
3;Tesla;pair;30;29;36;10;239;100;0,75;0,28;2,9;0,65;69,29;69,29;6,73;4,57
3;Tesla;state;31;29;34;3;64;100;0,73;0,97;0;0,17;70,29;70,29;2,29;1,87
3;Tesla;transition;31;29;34;5;34;100;0,66;2,13;0;0,33;71,29;71,29;3,65;3,11
3;Tesla;pair;31;29;34;5;107;100;0,67;0,26;1,37;0,28;72,29;72,29;4,06;2,59
3;Tesla;state;32;34;64;4;94;100;0,85;1,12;0;0,3;72,29;73,29;2,7;2,27
3;Tesla;transition;32;34;64;21;64;100;0,8;8,55;0;1,45;74,29;75,29;11,63;10,8
3;Tesla;pair;32;34;64;52;1406;100;0,87;0,63;24,02;2,9;78,29;81,29;33,26;28,43
3;Tesla;state;33;29;36;3;64;100;0,65;0,81;0;0,27;81,29;81,29;2,23;1,72
3;Tesla;transition;33;29;36;7;36;100;0,79;2,16;0;0,42;82,29;82,29;3,77;3,36
3;Tesla;pair;33;29;36;9;214;100;0,69;0,27;1,95;0,43;83,29;84,29;4,9;3,34
3;Tesla;state;34;27;29;2;34;100;0,61;0,66;0;0,17;84,29;84,29;1,71;1,44
3;Tesla;transition;34;27;29;3;29;100;0,57;1,32;0;0,16;85,29;85,29;2,35;2,05
3;Tesla;pair;34;27;29;4;78;100;0,55;0,21;0,81;0,16;86,29;86,29;3,01;1,73
3;Tesla;state;35;29;36;3;64;100;0,58;0,79;0;0,13;87,29;87,29;1,77;1,49
3;Tesla;transition;35;29;36;6;36;100;0,57;1,96;0;0,32;88,29;88,29;3,2;2,84
3;Tesla;pair;35;29;36;9;214;100;0,67;0,27;1,96;0,41;89,29;89,29;4,81;3,31
3;Tesla;state;36;29;34;3;64;100;0,59;0,72;0;0,13;90,29;90,29;1,71;1,44
3;Tesla;transition;36;29;34;6;34;100;0,54;1,98;0;0,31;91,29;91,29;3,18;2,83
3;Tesla;pair;36;29;34;6;132;100;0,56;0,23;1,32;0,26;92,29;92,29;4,77;2,37
3;Tesla;state;37;30;41;3;65;100;0,69;0,82;0;0,14;93,29;93,29;2,04;1,66
3;Tesla;transition;37;30;41;9;41;100;0,67;2,7;0;0,49;94,29;94,29;4,31;3,86
3;Tesla;pair;37;30;41;15;378;100;0,64;0,37;3,99;0,73;95,29;96,29;7,73;5,73
3;Tesla;state;38;31;47;3;66;100;0,76;0,87;0;0,17;96,29;97,29;2,11;1,79
3;Tesla;transition;38;31;47;12;47;100;0,7;3,41;0;0,68;98,29;98,29;5,26;4,79
3;Tesla;pair;38;31;47;24;626;100;0,7;0,36;6,98;1,2;100,29;101,29;11,87;9,24
3;Tesla;state;39;32;54;3;67;100;0,75;0,92;0;0,16;102,29;102,29;2,13;1,83
3;Tesla;transition;39;32;54;16;54;100;0,73;4,69;0;0,93;103,29;103,29;6,95;6,34
3;Tesla;pair;39;32;54;36;959;100;0,81;0,47;13,15;1,96;106,29;107,29;19,37;16,39
3;Tesla;state;40;31;43;2;41;100;0,76;0,77;0;0,09;108,29;108,29;1,92;1,62
3;Tesla;transition;40;31;43;10;43;100;0,62;3;0;0,54;109,29;109,29;4,77;4,16
3;Tesla;pair;40;31;43;16;404;100;0,71;0,32;3,9;0,77;111,29;112,29;7,54;5,7
3;Tesla;state;41;27;30;2;37;100;0,58;0,69;0;0,08;112,29;112,29;1,65;1,35
3;Tesla;transition;41;27;30;4;30;100;0,52;1,46;0;0,22;113,29;113,29;2,58;2,21
3;Tesla;pair;41;27;30;5;105;100;0,57;0,22;1,01;0,21;114,29;114,29;3,17;2,02
3;Tesla;state;42;28;32;2;38;100;0,55;0,69;0;0,08;115,29;115,29;1,57;1,33
3;Tesla;transition;42;28;32;4;32;100;0,55;1,5;0;0,21;115,29;115,29;2,63;2,26
3;Tesla;pair;42;28;32;5;106;100;0,56;0,23;1,07;0,22;116,29;116,29;3,17;2,07
3;Tesla;state;43;29;34;2;36;100;0,71;0,71;0;0,09;117,29;117,29;1,79;1,51
3;Tesla;transition;43;29;34;5;34;100;0,59;1,83;0;0,29;118,29;118,29;3,05;2,71
