RunID;SPL Name;Coverage Type;Product Index;FTS States;FTS Transitions;Test Cases;Total Test Actions;Coverage(%);Projection Time(ms);Test Generation Time(ms);Transformation Time(ms);Test Execution Time(ms);Test Generation Peak Memory(MB);Test Execution Peak Memory(MB);Wall Clock Time(ms);Segment Sum Time(ms)
10;Tesla;state;1;27;29;2;37;100;20,48;8,18;0;3,83;16,5;16,5;35,49;32,49
10;Tesla;transition;1;27;29;3;29;100;3,77;12,85;0;0,87;17,5;17,5;18,99;17,49
10;Tesla;pair;1;27;29;3;53;100;2,12;2,65;2,4;0,51;18,5;18,5;12,19;7,67
10;Tesla;state;2;31;43;3;66;100;1,59;1,93;0;0,63;19,5;19,5;5,28;4,16
10;Tesla;transition;2;31;43;9;43;100;1,5;6,74;0;3,34;20,5;20,5;13,42;11,58
10;Tesla;pair;2;31;43;15;379;100;2,11;0,41;7,44;2,76;22,5;23,5;16,79;12,72
10;Tesla;state;3;27;29;2;34;100;1,31;1,26;0;0,29;23,5;23,5;4,12;2,86
10;Tesla;transition;3;27;29;3;29;100;1,16;2,83;0;0,44;24,5;24,5;5,46;4,44
10;Tesla;pair;3;27;29;4;78;100;0,83;0,22;1,72;0,45;27,08;6,08;13,19;3,22
10;Tesla;state;4;30;41;2;40;100;1,35;1,23;0;0,21;7,08;7,08;3,53;2,79
10;Tesla;transition;4;30;41;9;41;100;0,96;4,41;0;1,08;8,08;8,08;7,32;6,44
10;Tesla;pair;4;30;41;15;378;100;1,02;0,42;5,47;1,36;10,08;10,08;11,49;8,28
10;Tesla;state;5;29;36;3;64;100;0,79;0,99;0;0,23;11,08;11,08;2,6;2
10;Tesla;transition;5;29;36;7;36;100;0,81;2,63;0;0,61;12,08;12,08;4,62;4,05
10;Tesla;pair;5;29;36;9;214;100;0,86;0,26;2,45;0,68;13,08;14,08;6,41;4,26
10;Tesla;state;6;28;34;4;88;100;0,87;1,01;0;0,31;14,08;14,08;2,66;2,19
10;Tesla;transition;6;28;34;6;34;100;0,78;2,33;0;0,48;15,08;16,08;4,18;3,59
10;Tesla;pair;6;28;34;9;213;100;0,83;0,31;2,51;0,6;17,08;17,08;6,05;4,25
10;Tesla;state;7;27;29;2;37;100;0,81;0,84;0;0,22;18,08;18,08;2,28;1,87
10;Tesla;transition;7;27;29;3;29;100;0,65;1,6;0;0,3;18,08;19,08;3,01;2,55
10;Tesla;pair;7;27;29;3;53;100;0,78;0,2;0,7;0,17;19,08;19,08;3,36;1,86
10;Tesla;state;8;29;36;3;64;100;0,8;1,06;0;0,28;20,08;20,08;2,54;2,14
10;Tesla;transition;8;29;36;7;36;100;0,65;2,5;0;0,56;21,08;21,08;4,32;3,71
10;Tesla;pair;8;29;36;9;214;100;0,9;0,28;2,43;0,57;22,08;23,08;6,3;4,17
10;Tesla;state;9;29;39;3;64;100;0,95;1,23;0;0,3;24,08;24,08;3,09;2,48
10;Tesla;transition;9;29;39;9;39;100;1,01;4,4;0;1,09;25,08;25,08;7,44;6,5
10;Tesla;pair;9;29;39;15;377;100;0,8;0,32;5,75;0,94;27,08;27,08;10,79;7,81
10;Tesla;state;10;29;34;3;64;100;1,18;1,18;0;0,21;28,08;28,08;3,16;2,57
10;Tesla;transition;10;29;34;5;34;100;1,01;2,99;0;0,39;29,08;29,08;5,15;4,39
10;Tesla;pair;10;29;34;5;107;100;1,18;0,36;1,68;0,28;30,08;30,08;5,96;3,5
10;Tesla;state;11;29;36;3;64;100;1,09;1,36;0;0,3;31,08;31,08;3,68;2,74
10;Tesla;transition;11;29;36;7;36;100;1,28;4,11;0;0,67;32,08;32,08;6,99;6,06
10;Tesla;pair;11;29;36;9;214;100;1,38;0,41;3,82;0,62;33,08;33,08;8,99;6,23
10;Tesla;state;12;29;36;3;64;100;0,9;1,19;0;0,15;34,08;34,08;2,64;2,24
10;Tesla;transition;12;29;36;7;36;100;1,02;3,37;0;0,46;35,08;35,08;5,59;4,85
10;Tesla;pair;12;29;36;9;214;100;0,83;0,28;2,32;0,59;36,08;37,08;6,07;4,02
10;Tesla;state;13;31;43;3;66;100;0,95;1,14;0;0,19;37,08;38,08;2,68;2,28
10;Tesla;transition;13;31;43;10;43;100;1;3,34;0;0,73;39,08;39,08;5,79;5,06
