RunID;SPL Name;Product Index;Coverage Budget Source;Operator;Total Mutants;Equivalent Count;Action Budget;Max Steps Per Case;Seed Count;Aborted Walks Total;Killed Min;Killed P25;Killed Median;Killed P75;Killed Max;Mutation Score Min(%);Mutation Score P25(%);Mutation Score Median(%);Mutation Score P75(%);Mutation Score Max(%)
1;Syngovia;144;pair;TransitionDestinationExchange;1283;560;4205;546;100;0;338;397;407;414;440;46,75;54,91;56,29;57,26;60,86
1;Syngovia;145;state;TransitionMissing;280;0;252;562;100;0;47;61;65;69;77;16,79;21,79;23,21;24,64;27,5
1;Syngovia;145;state;ActionExchange;1962;0;252;562;100;0;201;306;339;365;453;10,24;15,6;17,28;18,6;23,09
1;Syngovia;145;state;StateMissing;73;0;252;562;100;0;23;33;36;39;43;31,51;45,21;49,32;53,42;58,9
1;Syngovia;145;state;TransitionDestinationExchange;1236;511;252;562;100;0;122;173;188;198;238;16,83;23,86;25,93;27,31;32,83
1;Syngovia;145;transition;TransitionMissing;280;0;2050;562;100;0;97;110;115;120;130;34,64;39,29;41,07;42,86;46,43
1;Syngovia;145;transition;ActionExchange;1962;0;2050;562;100;0;561;635;678;704;797;28,59;32,36;34,56;35,88;40,62
1;Syngovia;145;transition;StateMissing;73;0;2050;562;100;0;41;51;52;55;60;56,16;69,86;71,23;75,34;82,19
1;Syngovia;145;transition;TransitionDestinationExchange;1236;511;2050;562;100;0;265;317;331;342;366;36,55;43,72;45,66;47,17;50,48
1;Syngovia;145;pair;TransitionMissing;280;0;5516;562;100;0;124;134;138;142;151;44,29;47,86;49,29;50,71;53,93
1;Syngovia;145;pair;ActionExchange;1962;0;5516;562;100;0;700;794;830;876;956;35,68;40,47;42,3;44,65;48,73
1;Syngovia;145;pair;StateMissing;73;0;5516;562;100;0;53;58;60;62;64;72,6;79,45;82,19;84,93;87,67
1;Syngovia;145;pair;TransitionDestinationExchange;1236;511;5516;562;100;0;346;372;383;393;421;47,72;51,31;52,83;54,21;58,07
