RunID;SPL Name;Product Index;Coverage Type;Operator;Total Mutants;Equivalent Count;Killed Count;Survived Count;Mutation Score(%);Executed Transitions Total;Efficiency (killed/transition)
1;Syngovia;201;state;TransitionMissing;272;0;100;172;36,76;184;0,54
1;Syngovia;201;transition;TransitionMissing;272;0;272;0;100;1298;0,21
1;Syngovia;201;pair;TransitionMissing;272;0;272;0;100;4207;0,06
1;Syngovia;201;family-baseline;TransitionMissing;272;0;0;272;0;0;0
1;Syngovia;201;state;ActionExchange;1976;0;882;1094;44,64;184;4,79
1;Syngovia;201;transition;ActionExchange;1976;0;1976;0;100;1298;1,52
1;Syngovia;201;pair;ActionExchange;1976;0;1976;0;100;4207;0,47
1;Syngovia;201;family-baseline;ActionExchange;1976;0;0;1976;0;0;0
1;Syngovia;201;state;StateMissing;73;0;73;0;100;184;0,4
1;Syngovia;201;transition;StateMissing;73;0;73;0;100;1298;0,06
1;Syngovia;201;pair;StateMissing;73;0;73;0;100;4207;0,02
1;Syngovia;201;family-baseline;StateMissing;73;0;0;73;0;0;0
1;Syngovia;201;state;TransitionDestinationExchange;1283;560;306;417;42,32;184;1,66
1;Syngovia;201;transition;TransitionDestinationExchange;1283;560;670;53;92,67;1298;0,52
1;Syngovia;201;pair;TransitionDestinationExchange;1283;560;723;0;100;4207;0,17
1;Syngovia;201;family-baseline;TransitionDestinationExchange;1283;560;0;723;0;0;0
1;Syngovia;202;state;TransitionMissing;275;0;95;180;34,55;180;0,53
1;Syngovia;202;transition;TransitionMissing;275;0;275;0;100;1380;0,2
1;Syngovia;202;pair;TransitionMissing;275;0;275;0;100;3846;0,07
1;Syngovia;202;family-baseline;TransitionMissing;275;0;0;275;0;0;0
1;Syngovia;202;state;ActionExchange;1957;0;867;1090;44,3;180;4,82
1;Syngovia;202;transition;ActionExchange;1957;0;1957;0;100;1380;1,42
1;Syngovia;202;pair;ActionExchange;1957;0;1957;0;100;3846;0,51
1;Syngovia;202;family-baseline;ActionExchange;1957;0;0;1957;0;0;0
1;Syngovia;202;state;StateMissing;69;0;69;0;100;180;0,38
1;Syngovia;202;transition;StateMissing;69;0;69;0;100;1380;0,05
1;Syngovia;202;pair;StateMissing;69;0;69;0;100;3846;0,02
1;Syngovia;202;family-baseline;StateMissing;69;0;0;69;0;0;0
1;Syngovia;202;state;TransitionDestinationExchange;1234;510;293;431;40,47;180;1,63
1;Syngovia;202;transition;TransitionDestinationExchange;1234;510;671;53;92,68;1380;0,49
1;Syngovia;202;pair;TransitionDestinationExchange;1234;510;724;0;100;3846;0,19
1;Syngovia;202;family-baseline;TransitionDestinationExchange;1234;510;0;724;0;0;0
1;Syngovia;203;state;TransitionMissing;274;0;100;174;36,5;184;0,54
