RunID;SPL Name;Product Index;Coverage Type;Operator;Total Mutants;Equivalent Count;Killed Count;Survived Count;Mutation Score(%);Executed Transitions Total;Efficiency (killed/transition)
1;Syngovia;61;state;TransitionMissing;230;0;86;144;37,39;219;0,39
1;Syngovia;61;transition;TransitionMissing;230;0;230;0;100;1549;0,15
1;Syngovia;61;pair;TransitionMissing;230;0;230;0;100;4142;0,06
1;Syngovia;61;family-baseline;TransitionMissing;230;0;0;230;0;0;0
1;Syngovia;61;state;ActionExchange;1659;0;730;929;44;219;3,33
1;Syngovia;61;transition;ActionExchange;1659;0;1659;0;100;1549;1,07
1;Syngovia;61;pair;ActionExchange;1659;0;1659;0;100;4142;0,4
1;Syngovia;61;family-baseline;ActionExchange;1659;0;0;1659;0;0;0
1;Syngovia;61;state;StateMissing;62;0;62;0;100;219;0,28
1;Syngovia;61;transition;StateMissing;62;0;62;0;100;1549;0,04
1;Syngovia;61;pair;StateMissing;62;0;62;0;100;4142;0,01
1;Syngovia;61;family-baseline;StateMissing;62;0;0;62;0;0;0
1;Syngovia;61;state;TransitionDestinationExchange;1049;440;246;363;40,39;219;1,12
1;Syngovia;61;transition;TransitionDestinationExchange;1049;440;557;52;91,46;1549;0,36
1;Syngovia;61;pair;TransitionDestinationExchange;1049;440;609;0;100;4142;0,15
1;Syngovia;61;family-baseline;TransitionDestinationExchange;1049;440;0;609;0;0;0
1;Syngovia;62;state;TransitionMissing;269;0;95;174;35,32;180;0,53
1;Syngovia;62;transition;TransitionMissing;269;0;269;0;100;1326;0,2
1;Syngovia;62;pair;TransitionMissing;269;0;269;0;100;3678;0,07
1;Syngovia;62;family-baseline;TransitionMissing;269;0;0;269;0;0;0
1;Syngovia;62;state;ActionExchange;1921;0;866;1055;45,08;180;4,81
1;Syngovia;62;transition;ActionExchange;1921;0;1921;0;100;1326;1,45
1;Syngovia;62;pair;ActionExchange;1921;0;1921;0;100;3678;0,52
1;Syngovia;62;family-baseline;ActionExchange;1921;0;0;1921;0;0;0
1;Syngovia;62;state;StateMissing;69;0;69;0;100;180;0,38
1;Syngovia;62;transition;StateMissing;69;0;69;0;100;1326;0,05
1;Syngovia;62;pair;StateMissing;69;0;69;0;100;3678;0,02
1;Syngovia;62;family-baseline;StateMissing;69;0;0;69;0;0;0
1;Syngovia;62;state;TransitionDestinationExchange;1216;504;293;419;41,15;180;1,63
1;Syngovia;62;transition;TransitionDestinationExchange;1216;504;659;53;92,56;1326;0,5
1;Syngovia;62;pair;TransitionDestinationExchange;1216;504;712;0;100;3678;0,19
1;Syngovia;62;family-baseline;TransitionDestinationExchange;1216;504;0;712;0;0;0
1;Syngovia;63;state;TransitionMissing;234;0;87;147;37,18;159;0,55
1;Syngovia;63;transition;TransitionMissing;234;0;234;0;100;1068;0,22
1;Syngovia;63;pair;TransitionMissing;234;0;234;0;100;3509;0,07
1;Syngovia;63;family-baseline;TransitionMissing;234;0;0;234;0;0;0
1;Syngovia;63;state;ActionExchange;1739;0;762;977;43,82;159;4,79
1;Syngovia;63;transition;ActionExchange;1739;0;1739;0;100;1068;1,63
1;Syngovia;63;pair;ActionExchange;1739;0;1739;0;100;3509;0,5
1;Syngovia;63;family-baseline;ActionExchange;1739;0;0;1739;0;0;0
1;Syngovia;63;state;StateMissing;62;0;62;0;100;159;0,39
1;Syngovia;63;transition;StateMissing;62;0;62;0;100;1068;0,06
1;Syngovia;63;pair;StateMissing;62;0;62;0;100;3509;0,02
1;Syngovia;63;family-baseline;StateMissing;62;0;0;62;0;0;0
1;Syngovia;63;state;TransitionDestinationExchange;1126;495;259;372;41,05;159;1,63
1;Syngovia;63;transition;TransitionDestinationExchange;1126;495;578;53;91,6;1068;0,54
1;Syngovia;63;pair;TransitionDestinationExchange;1126;495;631;0;100;3509;0,18
1;Syngovia;63;family-baseline;TransitionDestinationExchange;1126;495;0;631;0;0;0
1;Syngovia;64;state;TransitionMissing;271;0;100;171;36,9;184;0,54
1;Syngovia;64;transition;TransitionMissing;271;0;271;0;100;1287;0,21
1;Syngovia;64;pair;TransitionMissing;271;0;271;0;100;4176;0,06
1;Syngovia;64;family-baseline;TransitionMissing;271;0;0;271;0;0;0
1;Syngovia;64;state;ActionExchange;1970;0;879;1091;44,62;184;4,78
1;Syngovia;64;transition;ActionExchange;1970;0;1970;0;100;1287;1,53
1;Syngovia;64;pair;ActionExchange;1970;0;1970;0;100;4176;0,47
1;Syngovia;64;family-baseline;ActionExchange;1970;0;0;1970;0;0;0
1;Syngovia;64;state;StateMissing;73;0;73;0;100;184;0,4
