RunID;SPL Name;Coverage Type;Product Index;FTS States;FTS Transitions;Test Cases;Total Test Actions;Coverage(%);Projection Time(ms);Test Generation Time(ms);Transformation Time(ms);Test Execution Time(ms);Test Generation Peak Memory(MB);Test Execution Peak Memory(MB);Wall Clock Time(ms);Segment Sum Time(ms)
2;StudentAttendanceSystem;state;1;21;39;8;42;100;10,83;9,74;0;4,08;15,34;15,34;29,39;24,65
2;StudentAttendanceSystem;transition;1;21;39;14;38;100;4,04;15,75;0;1,8;16,34;16,34;24,44;21,59
2;StudentAttendanceSystem;pair;1;21;39;36;194;100;3,43;3,91;9,13;2,97;17,34;18,34;28,9;19,44
2;StudentAttendanceSystem;state;2;26;48;11;58;100;2,04;2,71;0;0,88;18,34;18,34;7,29;5,63
2;StudentAttendanceSystem;transition;2;26;48;18;47;100;1,8;19,56;0;1,24;21,69;5,69;24,45;22,6
2;StudentAttendanceSystem;pair;2;26;48;40;212;100;1,43;0,74;5,92;1,53;6,69;7,69;13,6;9,63
2;StudentAttendanceSystem;state;3;31;62;14;76;100;1,31;1,72;0;0,67;8,69;8,69;5,13;3,69
2;StudentAttendanceSystem;transition;3;31;62;21;61;100;1,32;3,97;0;0,68;9,69;9,69;7,75;5,97
2;StudentAttendanceSystem;pair;3;31;62;50;293;100;1,23;0,91;7,7;1,62;11,69;11,69;15,63;11,47
2;StudentAttendanceSystem;state;4;22;40;9;49;100;1,03;1,18;0;0,29;12,69;12,69;3,49;2,49
2;StudentAttendanceSystem;transition;4;22;40;13;39;100;0,94;2,47;0;0,48;12,69;12,69;4,91;3,89
2;StudentAttendanceSystem;pair;4;22;40;38;214;100;0,97;0,51;4,08;1;14,69;14,69;9,34;6,56
2;StudentAttendanceSystem;state;5;30;60;13;73;100;1,14;1,58;0;0,43;15,69;15,69;3,91;3,15
2;StudentAttendanceSystem;transition;5;30;60;20;59;100;1,2;3,77;0;0,91;16,69;16,69;7,06;5,88
2;StudentAttendanceSystem;pair;5;30;60;52;300;100;1,18;0,87;6,16;1,3;17,69;18,69;13,2;9,5
2;StudentAttendanceSystem;state;6;25;51;11;60;100;1,05;1,41;0;0,25;19,69;19,69;3,48;2,71
2;StudentAttendanceSystem;transition;6;25;51;15;51;100;0,95;2,53;0;0,41;19,69;20,69;4,79;3,89
2;StudentAttendanceSystem;pair;6;25;51;48;280;100;1,11;0,8;5,21;1,12;21,69;22,69;11,47;8,23
2;StudentAttendanceSystem;state;7;11;17;4;17;100;0,66;0,72;0;0,15;22,69;22,69;2,31;1,53
2;StudentAttendanceSystem;transition;7;11;17;5;17;100;0,59;1,02;0;0,09;22,69;22,69;2,34;1,71
2;StudentAttendanceSystem;pair;7;11;17;16;66;100;0,61;0,19;1,19;0,26;23,69;23,69;4,48;2,26
2;StudentAttendanceSystem;state;8;30;60;13;70;100;1,11;1,45;0;0,27;24,69;24,69;3,62;2,83
2;StudentAttendanceSystem;transition;8;30;60;22;59;100;1,09;2,52;0;0,44;25,69;25,69;5,06;4,05
2;StudentAttendanceSystem;pair;8;30;60;54;306;100;1,03;0,78;5,55;1;26,69;27,69;11,98;8,36
2;StudentAttendanceSystem;state;9;18;33;7;36;100;0,86;1,13;0;0,14;27,69;27,69;2,98;2,13
2;StudentAttendanceSystem;transition;9;18;33;11;33;100;0,84;1,7;0;0,25;28,69;28,69;3,64;2,79
2;StudentAttendanceSystem;pair;9;18;33;29;159;100;0,86;1,37;3,72;0,61;29,69;29,69;27,75;6,56
2;StudentAttendanceSystem;state;10;13;21;6;25;100;0,67;0,62;0;0,1;30,69;30,69;3,21;1,39
2;StudentAttendanceSystem;transition;10;13;21;7;21;100;0,61;3,18;0;0,12;30,69;30,69;4,77;3,9
2;StudentAttendanceSystem;pair;10;13;21;18;77;100;0,73;0,27;1,34;0,34;31,69;31,69;4,8;2,68
2;StudentAttendanceSystem;state;11;22;38;9;50;100;1,46;1,34;0;0,25;31,69;31,69;4,67;3,05
2;StudentAttendanceSystem;transition;11;22;38;12;37;100;1,02;2,31;0;0,34;32,69;32,69;4,57;3,68
2;StudentAttendanceSystem;pair;11;22;38;31;168;100;1,16;0,53;3,01;0,75;33,69;34,69;8,36;5,45
2;StudentAttendanceSystem;state;12;24;44;10;56;100;0,93;1,06;0;0,2;34,69;34,69;2,74;2,19
2;StudentAttendanceSystem;transition;12;24;44;14;43;100;1,08;2,39;0;0,43;35,69;35,69;4,97;3,9
2;StudentAttendanceSystem;pair;12;24;44;37;211;100;1,28;0,56;3,42;0,84;36,69;37,69;8,85;6,1
2;StudentAttendanceSystem;state;13;22;42;10;50;100;1;4,76;0;0,24;37,69;37,69;6,78;6
2;StudentAttendanceSystem;transition;13;22;42;16;42;100;0,96;6,03;0;0,95;38,69;38,69;9,45;7,94
2;StudentAttendanceSystem;pair;13;22;42;35;182;100;2,02;0,55;3,74;0,83;39,69;39,69;11,41;7,14
2;StudentAttendanceSystem;state;14;20;41;9;44;100;1,08;1,4;0;0,21;40,69;40,69;3,49;2,69
2;StudentAttendanceSystem;transition;14;20;41;15;41;100;0,9;2,52;0;0,38;40,69;40,69;4,61;3,79
2;StudentAttendanceSystem;pair;14;20;41;39;217;100;0,92;0,58;3,7;0,92;42,69;42,69;9,18;6,12
2;StudentAttendanceSystem;state;15;22;43;9;45;100;0,96;1,18;0;0,18;43,69;43,69;3,1;2,32
2;StudentAttendanceSystem;transition;15;22;43;16;43;100;0,83;1,42;0;0,58;43,69;43,69;3,77;2,83
2;StudentAttendanceSystem;pair;15;22;43;43;231;100;0,66;0,5;4;0,6;45,69;45,69;8,58;5,75
2;StudentAttendanceSystem;state;16;27;54;12;67;100;1,23;1,54;0;0,2;46,69;46,69;3,46;2,97
2;StudentAttendanceSystem;transition;16;27;54;17;54;100;1,13;2,98;0;0,46;46,69;47,69;5,47;4,57
2;StudentAttendanceSystem;pair;16;27;54;45;265;100;1,12;0,58;4,23;1,08;48,69;49,69;9,68;7,01
2;StudentAttendanceSystem;state;17;27;54;12;68;100;1,23;1,43;0;0,26;49,69;49,69;3,54;2,92
2;StudentAttendanceSystem;transition;17;27;54;17;53;100;1,03;2,83;0;0,51;50,69;50,69;5,29;4,37
2;StudentAttendanceSystem;pair;17;27;54;47;281;100;1,2;0,44;3,75;1,02;52,69;52,69;9,2;6,41
2;StudentAttendanceSystem;state;18;12;19;5;22;100;0,53;0,68;0;2,52;52,69;53,69;4,28;3,74
2;StudentAttendanceSystem;transition;18;12;19;6;19;100;0,41;0,48;0;0,06;5,61;5,61;1,28;0,95
2;StudentAttendanceSystem;pair;18;12;19;21;86;100;0,41;0,24;0,7;0,22;6,61;6,61;2,72;1,57
2;StudentAttendanceSystem;state;19;27;54;12;68;100;0,86;1,1;0;0,22;6,61;6,61;2,81;2,17
2;StudentAttendanceSystem;transition;19;27;54;17;53;100;0,86;2,41;0;0,35;7,61;7,61;4,44;3,62
2;StudentAttendanceSystem;pair;19;27;54;46;278;100;0,85;0,61;4,17;0,91;9,61;9,61;9,95;6,54
2;StudentAttendanceSystem;state;20;22;38;8;42;100;0,77;1,02;0;0,16;10,61;10,61;2,5;1,95
2;StudentAttendanceSystem;transition;20;22;38;14;37;100;0,58;1,82;0;0,32;10,61;11,61;3,4;2,72
2;StudentAttendanceSystem;pair;20;22;38;33;168;100;0,71;0,26;2,12;0,49;12,61;12,61;5,84;3,59
2;StudentAttendanceSystem;state;21;18;31;7;35;100;0,55;0,75;0;0,12;12,61;12,61;2,04;1,41
2;StudentAttendanceSystem;transition;21;18;31;11;31;100;0,5;1,46;0;0,18;13,61;13,61;2,73;2,14
2;StudentAttendanceSystem;pair;21;18;31;25;127;100;0,47;0,32;1,94;0,4;14,61;14,61;4,94;3,12
2;StudentAttendanceSystem;state;22;27;51;11;59;100;0,64;1;0;0,2;15,61;15,61;2,95;1,84
2;StudentAttendanceSystem;transition;22;27;51;18;50;100;0,7;2,25;0;0,64;15,61;16,61;4,37;3,59
2;StudentAttendanceSystem;pair;22;27;51;40;226;100;0,69;0,56;3,44;0,63;17,61;17,61;7,85;5,32
2;StudentAttendanceSystem;state;23;19;34;8;38;100;0,57;0,66;0;0,2;18,61;18,61;1,88;1,43
2;StudentAttendanceSystem;transition;23;19;34;13;34;100;0,46;1,14;0;0,18;18,61;18,61;2,32;1,79
2;StudentAttendanceSystem;pair;23;19;34;26;133;100;0,58;0,4;1,86;0,44;19,61;20,61;5,13;3,28
2;StudentAttendanceSystem;state;24;27;55;11;61;100;0,82;1,17;0;0,21;20,61;20,61;2,73;2,19
2;StudentAttendanceSystem;transition;24;27;55;17;54;100;0,59;2,27;0;0,31;21,61;21,61;3,81;3,17
2;StudentAttendanceSystem;pair;24;27;55;52;302;100;0,65;0,67;4,3;0,77;23,61;23,61;9,2;6,38
2;StudentAttendanceSystem;state;25;13;22;6;25;100;0,4;0,58;0;0,1;24,61;24,61;1,51;1,08
2;StudentAttendanceSystem;transition;25;13;22;8;22;100;0,4;0,9;0;0,12;24,61;24,61;1,87;1,42
2;StudentAttendanceSystem;pair;25;13;22;21;87;100;0,39;0,22;1,11;0,15;25,61;25,61;2,73;1,87
2;StudentAttendanceSystem;state;26;12;19;5;22;100;0,42;0,46;0;0,09;25,61;25,61;1,32;0,96
2;StudentAttendanceSystem;transition;26;12;19;6;19;100;0,27;0,68;0;0,09;26,61;26,61;1,4;1,03
2;StudentAttendanceSystem;pair;26;12;19;20;82;100;0,23;0,12;0,52;0,22;26,61;27,61;1,71;1,1
2;StudentAttendanceSystem;state;27;23;46;10;54;100;0,34;0,84;0;0,19;27,61;27,61;1,81;1,37
2;StudentAttendanceSystem;transition;27;23;46;15;46;100;0,57;1,94;0;0,29;28,61;28,61;3,52;2,81
2;StudentAttendanceSystem;pair;27;23;46;42;240;100;0,52;0,54;3,08;0,67;29,61;30,61;6,84;4,82
2;StudentAttendanceSystem;state;28;26;53;11;62;100;0,66;0,82;0;0,18;30,61;30,61;2,1;1,66
2;StudentAttendanceSystem;transition;28;26;53;17;53;100;0,55;2,31;0;0,29;31,61;31,61;3,76;3,16
2;StudentAttendanceSystem;pair;28;26;53;44;262;100;0,54;0,61;4,08;0,69;33,61;33,61;7,96;5,92
2;StudentAttendanceSystem;state;29;22;39;9;49;100;0,6;0,46;0;0,1;34,61;34,61;1,43;1,17
2;StudentAttendanceSystem;transition;29;22;39;12;38;100;0,5;1,33;0;0,22;34,61;34,61;2,52;2,05
2;StudentAttendanceSystem;pair;29;22;39;35;199;100;0,51;0,31;2,4;0,58;35,61;36,61;6,02;3,81
2;StudentAttendanceSystem;state;30;25;51;12;68;100;0,58;0,83;0;0,19;36,61;36,61;2;1,6
2;StudentAttendanceSystem;transition;30;25;51;15;51;100;0,56;2,22;0;0,19;37,61;37,61;3,37;2,97
2;StudentAttendanceSystem;pair;30;25;51;47;279;100;0,39;0,56;3,94;0,7;39,61;39,61;8,17;5,59
2;StudentAttendanceSystem;state;31;27;56;12;64;100;0,69;0,94;0;0,24;40,61;40,61;2,41;1,87
2;StudentAttendanceSystem;transition;31;27;56;21;56;100;0,61;2,35;0;0,4;41,61;41,61;4,15;3,36
2;StudentAttendanceSystem;pair;31;27;56;53;293;100;0,7;0,7;4,34;0,81;42,61;43,61;9,6;6,56
2;StudentAttendanceSystem;state;32;12;18;5;22;100;0,57;0,48;0;0,07;43,61;43,61;1,52;1,11
2;StudentAttendanceSystem;transition;32;12;18;5;18;100;0,37;0,71;0;0,09;44,61;44,61;1,64;1,17
2;StudentAttendanceSystem;pair;32;12;18;16;68;100;0,34;0,19;0,93;0,23;44,61;44,61;2,83;1,68
2;StudentAttendanceSystem;state;33;17;30;7;34;100;0,43;0,64;0;0,11;45,61;45,61;1,59;1,18
2;StudentAttendanceSystem;transition;33;17;30;11;30;100;0,47;1,32;0;0,17;45,61;46,61;2,4;1,97
2;StudentAttendanceSystem;pair;33;17;30;25;130;100;0,48;0,25;1,33;0,36;46,61;47,61;3,9;2,42
2;StudentAttendanceSystem;state;34;23;46;9;46;100;0,55;0,75;0;0,17;47,61;47,61;1,83;1,46
2;StudentAttendanceSystem;transition;34;23;46;17;46;100;0,55;1,94;0;0,33;48,61;48,61;3,31;2,81
2;StudentAttendanceSystem;pair;34;23;46;43;241;100;0,54;0,58;3,14;0,74;49,61;50,61;7,14;5,01
2;StudentAttendanceSystem;state;35;19;37;8;40;100;0,6;0,73;0;0,13;50,61;50,61;1,96;1,46
2;StudentAttendanceSystem;transition;35;19;37;13;37;100;0,49;1,27;0;0,27;51,61;51,61;2,54;2,04
2;StudentAttendanceSystem;pair;35;19;37;37;199;100;0,49;0,34;2,85;0,59;52,61;52,61;6,05;4,27
2;StudentAttendanceSystem;state;36;24;48;11;62;100;0,62;0,83;0;0,2;53,61;53,61;2,07;1,65
2;StudentAttendanceSystem;transition;36;24;48;14;48;100;0,52;2,15;0;0,38;54,61;54,61;3,64;3,06
2;StudentAttendanceSystem;pair;36;24;48;40;242;100;0,75;0,86;4,1;1,01;55,61;56,61;9,21;6,72
2;StudentAttendanceSystem;state;37;22;39;8;42;100;0,81;1,01;0;0,21;56,61;56,61;2,53;2,03
2;StudentAttendanceSystem;transition;37;22;39;15;38;100;0,7;2,2;0;0,34;57,61;57,61;3,8;3,25
2;StudentAttendanceSystem;pair;37;22;39;35;179;100;0,74;0,69;3,84;0,77;58,61;58,61;8,07;6,04
2;StudentAttendanceSystem;state;38;19;34;8;38;100;0,73;0,8;0;0,13;59,61;59,61;2,11;1,67
2;StudentAttendanceSystem;transition;38;19;34;13;34;100;0,69;1,84;0;0,33;59,61;59,61;3,45;2,86
2;StudentAttendanceSystem;pair;38;19;34;28;139;100;0,68;0,46;3,03;0,55;60,61;61,61;6,55;4,72
2;StudentAttendanceSystem;state;39;21;37;8;41;100;0,76;0,87;0;0,18;61,61;61,61;2,22;1,81
2;StudentAttendanceSystem;transition;39;21;37;14;36;100;0,72;2,03;0;0,35;62,61;62,61;3,75;3,1
2;StudentAttendanceSystem;pair;39;21;37;32;164;100;0,77;0,53;2,99;0,63;63,61;63,61;7,09;4,92
2;StudentAttendanceSystem;state;40;29;57;13;69;100;0,95;1,38;0;0,26;64,61;64,61;3,06;2,59
