RunID;SPL Name;Coverage Type;Product Index;FTS States;FTS Transitions;Test Cases;Total Test Actions;Coverage(%);Projection Time(ms);Test Generation Time(ms);Transformation Time(ms);Test Execution Time(ms);Test Generation Peak Memory(MB);Test Execution Peak Memory(MB);Wall Clock Time(ms);Segment Sum Time(ms)
10;eMail;state;1;9;18;3;9;100;7,86;5,41;0;3,08;12,42;12,42;20,04;16,35
10;eMail;transition;1;9;18;6;17;100;2,6;12,89;0;1,56;12,42;13,42;19,57;17,04
10;eMail;pair;1;9;18;20;82;100;2,09;4,08;7,1;2,14;13,42;13,42;22,56;15,42
10;eMail;state;2;7;13;2;6;100;1,34;16,53;0;0,2;16,83;5,83;19,71;18,07
10;eMail;transition;2;7;13;3;12;100;1,37;2,65;0;0,42;5,83;5,83;6,13;4,44
10;eMail;pair;2;7;13;9;46;100;1,42;0,77;2,68;1,2;5,83;6,83;9,58;6,06
10;eMail;state;3;6;12;2;6;100;0,81;0,65;0;0,14;6,83;6,83;2,87;1,61
10;eMail;transition;3;6;12;4;11;100;0,71;1,54;0;0,26;6,83;6,83;4,2;2,51
10;eMail;pair;3;6;12;8;39;100;0,53;0,23;1,7;0,95;6,83;6,83;6,69;3,42
10;eMail;state;4;11;23;5;15;100;0,83;0,95;0;0,47;7,83;7,83;3,93;2,25
10;eMail;transition;4;11;23;8;21;100;0,61;2,43;0;0,71;7,83;7,83;5,38;3,76
10;eMail;pair;4;11;23;45;135;100;0,81;0,63;6,26;1,93;8,83;8,83;13,1;9,63
10;eMail;state;5;9;18;3;9;100;0,78;2,16;0;0,26;8,83;8,83;4,76;3,2
10;eMail;transition;5;9;18;5;16;100;0,65;1,23;0;0,23;8,83;8,83;3,11;2,11
10;eMail;pair;5;9;18;28;89;100;0,33;0,32;2,48;0,66;9,83;9,83;5,16;3,8
10;eMail;state;6;8;16;3;8;100;0,41;0,35;0;0,16;9,83;9,83;1,51;0,92
10;eMail;transition;6;8;16;5;15;100;0,36;0,88;0;0,15;10,83;10,83;2,02;1,39
10;eMail;pair;6;8;16;16;65;100;0,33;0,21;1,14;0,59;10,83;10,83;3,58;2,27
10;eMail;state;7;8;18;3;8;100;0,41;0,43;0;0,12;10,83;10,83;1,98;0,95
10;eMail;transition;7;8;18;7;16;100;0,34;0,65;0;0,52;11,83;11,83;2,23;1,51
10;eMail;pair;7;8;18;29;89;100;0,23;0,22;2,03;0,7;11,83;11,83;4,5;3,17
10;eMail;state;8;8;17;3;8;100;0,35;0,41;0;0,1;12,83;12,83;1,51;0,85
10;eMail;transition;8;8;17;5;15;100;0,32;0,88;0;0,15;12,83;12,83;1,98;1,35
10;eMail;pair;8;8;17;29;89;100;0,27;0,25;2,34;0,57;12,83;13,83;4,69;3,43
10;eMail;state;9;11;22;5;15;100;0,37;0,51;0;0,15;13,83;13,83;1,71;1,03
10;eMail;transition;9;11;22;7;20;100;0,33;1,08;0;0,27;13,83;13,83;2,45;1,68
10;eMail;pair;9;11;22;43;127;100;0,4;0,37;3,54;0,77;14,83;14,83;6,82;5,08
10;eMail;state;10;9;19;4;12;100;0,44;0,44;0;0,15;14,83;14,83;1,63;1,03
10;eMail;transition;10;9;19;6;17;100;0,33;0,8;0;0,16;14,83;14,83;1,79;1,28
10;eMail;pair;10;9;19;28;89;100;0,33;0,35;2,33;0,41;15,83;15,83;4,84;3,41
10;eMail;state;11;8;17;3;9;100;0,33;0,29;0;0,05;15,83;15,83;1,11;0,67
10;eMail;transition;11;8;17;6;15;100;0,31;0,81;0;0,09;16,83;16,83;1,71;1,22
10;eMail;pair;11;8;17;29;87;100;0,28;0,35;1,96;0,37;16,83;16,83;4,18;2,97
10;eMail;state;12;8;15;3;8;100;0,47;0,45;0;0,05;17,83;17,83;1,38;0,96
10;eMail;transition;12;8;15;4;14;100;0,47;1,18;0;0,08;17,83;17,83;2,39;1,74
10;eMail;pair;12;8;15;21;77;100;0,39;0,31;1,44;0,32;17,83;17,83;3,64;2,46
10;eMail;state;13;10;21;4;11;100;0,3;0,42;0;0,07;18,83;18,83;1,25;0,79
10;eMail;transition;13;10;21;8;19;100;0,34;0,93;0;0,17;18,83;18,83;2,08;1,44
10;eMail;pair;13;10;21;42;122;100;0,32;0,35;2,72;0,57;19,83;19,83;5,21;3,96
10;eMail;state;14;10;21;4;11;100;0,33;0,43;0;0,07;19,83;19,83;1,38;0,84
10;eMail;transition;14;10;21;7;19;100;0,3;1,56;0;0,14;19,83;19,83;2,66;2,01
10;eMail;pair;14;10;21;42;123;100;0,44;0,39;2,13;0,47;20,83;20,83;5,01;3,44
10;eMail;state;15;7;14;2;6;100;0,35;0,35;0;0,05;20,83;20,83;1,28;0,75
10;eMail;transition;15;7;14;4;13;100;0,37;0,79;0;0,1;21,83;21,83;1,82;1,26
10;eMail;pair;15;7;14;10;50;100;0,36;0,2;0,95;0,22;21,83;21,83;2,79;1,73
10;eMail;state;16;8;16;3;9;100;0,34;0,48;0;0,1;21,83;21,83;1,41;0,92
10;eMail;transition;16;8;16;6;15;100;0,48;0,75;0;0,14;22,83;22,83;2,17;1,38
10;eMail;pair;16;8;16;16;64;100;0,38;0,29;1,01;0,29;22,83;22,83;3,3;1,97
10;eMail;state;17;10;22;4;11;100;0,4;0,5;0;0,08;22,83;23,83;1,54;0,99
10;eMail;transition;17;10;22;9;20;100;0,35;1,06;0;0,15;23,83;23,83;2,2;1,57
