RunID;SPL Name;Coverage Type;Product Index;FTS States;FTS Transitions;Test Cases;Total Test Actions;Coverage(%);Projection Time(ms);Test Generation Time(ms);Transformation Time(ms);Test Execution Time(ms);Test Generation Peak Memory(MB);Test Execution Peak Memory(MB);Wall Clock Time(ms);Segment Sum Time(ms)
10;Elevator;state;1;12;30;3;13;100;7,28;5,68;0;2,84;22,4;22,4;19,32;15,8
10;Elevator;transition;1;12;30;9;24;100;2,6;12,44;0;1,04;23,4;23,4;18,27;16,08
10;Elevator;pair;1;12;30;55;185;100;1,97;4,03;17,01;3,69;26,7;6,7;33,75;26,7
10;Elevator;state;2;10;24;3;10;100;0,91;0,97;0;0,25;6,7;6,7;3,55;2,13
10;Elevator;transition;2;10;24;10;20;100;0,71;2,03;0;0,43;6,7;6,7;4,33;3,17
10;Elevator;pair;2;10;24;37;123;100;0,69;0,44;4,51;1,29;7,7;7,7;9,49;6,92
10;Elevator;state;3;12;31;3;13;100;0,7;0,78;0;0,26;8,7;8,7;2,78;1,73
10;Elevator;transition;3;12;31;9;25;100;0,71;1,73;0;0,42;9,7;9,7;4,09;2,86
10;Elevator;pair;3;12;31;67;223;100;0,73;0,95;8,33;1,93;10,7;11,7;14,4;11,94
10;Elevator;state;4;7;21;3;7;100;0,75;0,55;0;0,08;11,7;11,7;2,1;1,38
10;Elevator;transition;4;7;21;10;19;100;0,46;1,55;0;0,24;11,7;11,7;2,93;2,24
10;Elevator;pair;4;7;21;33;96;100;0,49;0,43;2,67;0,74;12,7;12,7;6,1;4,33
10;Elevator;state;5;10;33;3;9;100;0,67;0,7;0;0,1;12,7;12,7;2,1;1,47
10;Elevator;transition;5;10;33;15;28;100;0,66;1,69;0;0,51;13,7;13,7;3,68;2,87
10;Elevator;pair;5;10;33;68;214;100;0,64;0,8;6,95;1,88;14,7;15,7;12,65;10,27
10;Elevator;state;6;7;20;3;7;100;0,55;0,57;0;0,09;15,7;15,7;1,76;1,21
10;Elevator;transition;6;7;20;10;18;100;0,57;1,19;0;0,2;15,7;15,7;2,51;1,96
10;Elevator;pair;6;7;20;27;75;100;0,48;0,37;1,65;0,44;16,7;16,7;4,11;2,94
10;Elevator;state;7;10;24;3;10;100;0,39;0,71;0;0,09;17,7;17,7;1,67;1,19
10;Elevator;transition;7;10;24;10;20;100;0,63;1,46;0;0,28;17,7;17,7;3,11;2,38
10;Elevator;pair;7;10;24;37;123;100;0,49;0,35;2,69;0,47;18,7;18,7;5,55;4,01
10;Elevator;state;8;8;23;3;7;100;0,47;0,39;0;0,06;18,7;18,7;1,38;0,92
10;Elevator;transition;8;8;23;12;20;100;0,38;0,89;0;0,15;19,7;19,7;1,89;1,43
10;Elevator;pair;8;8;23;31;89;100;0,46;0,3;1,49;0,5;20,7;20,7;3,67;2,76
10;Elevator;state;9;8;25;3;7;100;0,7;0,58;0;0,05;20,7;20,7;1,78;1,33
10;Elevator;transition;9;8;25;13;22;100;0,5;1,19;0;0,95;20,7;21,7;3,27;2,64
10;Elevator;pair;9;8;25;37;110;100;0,58;0,52;2,77;0,62;21,7;22,7;6,1;4,49
10;Elevator;state;10;10;25;3;10;100;0,59;0,5;0;0,12;22,7;22,7;1,71;1,2
10;Elevator;transition;10;10;25;9;21;100;0,38;1,07;0;0,19;22,7;22,7;2,18;1,63
10;Elevator;pair;10;10;25;42;149;100;0,39;0,28;2,28;0,46;23,7;24,7;4,55;3,41
10;Elevator;state;11;10;31;3;9;100;0,36;0,44;0;0,05;24,7;24,7;1,27;0,84
10;Elevator;transition;11;10;31;14;26;100;0,4;1,01;0;0,13;24,7;24,7;1,99;1,54
10;Elevator;pair;11;10;31;55;175;100;0,35;0,36;2,47;0,56;25,7;26,7;4,97;3,75
10;Elevator;state;12;12;30;3;13;100;0,49;0,41;0;0,07;26,7;26,7;1,29;0,97
10;Elevator;transition;12;12;30;9;24;100;0,37;0,73;0;0,11;27,7;27,7;1,59;1,22
10;Elevator;pair;12;12;30;55;185;100;0,44;0,33;2,34;0,48;28,7;28,7;4,78;3,6
10;Elevator;state;13;8;23;3;7;100;0,35;0,4;0;0,03;29,7;29,7;1,09;0,78
10;Elevator;transition;13;8;23;12;20;100;0,28;0,71;0;0,09;29,7;29,7;1,48;1,08
10;Elevator;pair;13;8;23;31;89;100;0,38;0,22;1,67;0,19;30,7;30,7;3,32;2,46
10;Elevator;state;14;7;20;3;7;100;0,41;0,45;0;0,05;30,7;30,7;1,28;0,91
10;Elevator;transition;14;7;20;10;18;100;0,43;0,59;0;0,3;30,7;30,7;1,77;1,32
10;Elevator;pair;14;7;20;27;75;100;1,24;0,32;1,67;0,4;31,7;31,7;5,11;3,63
10;Elevator;state;15;10;31;3;9;100;0,62;0,75;0;0,22;32,7;32,7;2,36;1,58
10;Elevator;transition;15;10;31;14;26;100;0,83;1,14;0;0,33;32,7;32,7;3;2,31
10;Elevator;pair;15;10;31;56;177;100;0,53;0,47;3,68;0,9;33,7;34,7;7,5;5,58
10;Elevator;state;16;10;31;3;9;100;0,63;0,71;0;0,1;34,7;34,7;1,94;1,44
10;Elevator;transition;16;10;31;14;26;100;0,69;1,76;0;0,27;34,7;34,7;3,4;2,73
10;Elevator;pair;16;10;31;57;179;100;0,82;0,72;3,66;1,11;35,7;36,7;8,46;6,3
10;Elevator;state;17;7;20;3;7;100;0,97;0,51;0;0,04;36,7;36,7;1,9;1,52
10;Elevator;transition;17;7;20;10;18;100;0,38;0,77;0;0,19;36,7;37,7;1,79;1,34
10;Elevator;pair;17;7;20;27;75;100;0,63;0,26;1,33;0,59;37,7;37,7;4,16;2,82
10;Elevator;state;18;7;20;3;7;100;0,55;0,53;0;0,03;38,7;38,7;1,46;1,12
10;Elevator;transition;18;7;20;10;18;100;0,43;0,9;0;0,11;38,7;38,7;1,89;1,44
10;Elevator;pair;18;7;20;27;75;100;0,56;0,21;1,41;0,3;39,7;39,7;3,57;2,49
10;Elevator;state;19;10;33;3;9;100;0,83;0,63;0;0,08;39,7;39,7;2,08;1,55
10;Elevator;transition;19;10;33;15;28;100;0,46;1,33;0;0,23;39,7;40,7;2,69;2,03
10;Elevator;pair;19;10;33;67;212;100;0,7;0,66;5,31;0,93;41,7;41,7;9,95;7,61
10;Elevator;state;20;10;31;3;9;100;0,66;0,58;0;0,07;42,7;42,7;1,76;1,3
