RunID;SPL Name;Coverage Type;Product Index;FTS States;FTS Transitions;Test Cases;Total Test Actions;Coverage(%);Projection Time(ms);Test Generation Time(ms);Transformation Time(ms);Test Execution Time(ms);Test Generation Peak Memory(MB);Test Execution Peak Memory(MB);Wall Clock Time(ms);Segment Sum Time(ms)
6;Elevator;state;1;12;30;3;13;100;7,99;5,61;0;2,87;7,4;7,4;20;16,47
6;Elevator;transition;1;12;30;9;24;100;2,7;12,78;0;1,23;8,4;8,4;18,78;16,71
6;Elevator;pair;1;12;30;55;185;100;2,28;4,76;11,56;3,58;9,4;9,4;30,61;22,17
6;Elevator;state;2;10;24;3;10;100;1,04;0,82;0;0,17;10,4;10,4;3,49;2,03
6;Elevator;transition;2;10;24;10;20;100;0,64;1,86;0;0,45;10,4;10,4;4,2;2,95
6;Elevator;pair;2;10;24;37;123;100;0,72;0,47;4,97;1,84;11,4;11,4;10,84;8
6;Elevator;state;3;12;31;3;13;100;0,85;0,93;0;0,24;11,4;12,4;3,18;2,03
6;Elevator;transition;3;12;31;9;25;100;1,12;1,83;0;0,47;12,4;12,4;4,73;3,43
6;Elevator;pair;3;12;31;67;223;100;0,77;0,77;8,38;1,37;13,4;14,4;13,99;11,29
6;Elevator;state;4;7;21;3;7;100;0,36;0,34;0;0,11;14,4;14,4;1,53;0,81
6;Elevator;transition;4;7;21;10;19;100;0,48;1,36;0;0,26;14,4;15,4;2,91;2,11
6;Elevator;pair;4;7;21;33;96;100;0,71;0,18;1,95;0,63;15,4;15,4;4,99;3,47
6;Elevator;state;5;10;33;3;9;100;0,71;0,64;0;0,06;16,4;16,4;1,96;1,41
6;Elevator;transition;5;10;33;15;28;100;0,65;1,25;0;0,35;16,4;16,4;2,78;2,25
6;Elevator;pair;5;10;33;68;214;100;0,58;0,54;4,05;1,23;18,4;18,4;8,62;6,4
6;Elevator;state;6;7;20;3;7;100;0,54;0,55;0;0,07;18,4;18,4;1,73;1,17
6;Elevator;transition;6;7;20;10;18;100;0,53;1;0;0,1;19,4;19,4;2,14;1,62
6;Elevator;pair;6;7;20;27;75;100;0,58;0,36;2,01;0,4;19,4;20,4;4,94;3,35
6;Elevator;state;7;10;24;3;10;100;0,45;0,43;0;0,04;20,4;20,4;1,24;0,91
6;Elevator;transition;7;10;24;10;20;100;0,28;1,5;0;0,14;20,4;20,4;2,41;1,92
6;Elevator;pair;7;10;24;37;123;100;0,35;0,18;1,6;0,42;21,4;21,4;3,42;2,56
6;Elevator;state;8;8;23;3;7;100;0,28;0,29;0;0,03;22,4;22,4;0,86;0,6
6;Elevator;transition;8;8;23;12;20;100;0,32;1,07;0;0,12;22,4;22,4;1,88;1,51
6;Elevator;pair;8;8;23;31;89;100;0,37;0,16;1,11;0,34;23,4;23,4;2,75;1,98
6;Elevator;state;9;8;25;3;7;100;0,59;0,3;0;0,05;23,4;23,4;1,32;0,95
6;Elevator;transition;9;8;25;13;22;100;0,54;1,07;0;0,17;24,4;24,4;2,23;1,78
6;Elevator;pair;9;8;25;37;110;100;0,56;0,22;1,8;0,46;24,4;25,4;4,5;3,04
6;Elevator;state;10;10;25;3;10;100;0,37;0,52;0;0,07;25,4;25,4;1,26;0,97
6;Elevator;transition;10;10;25;9;21;100;0,65;1,26;0;0,15;25,4;25,4;2,55;2,06
6;Elevator;pair;10;10;25;42;149;100;0,4;0,33;3,14;0,92;26,4;27,4;6,26;4,8
6;Elevator;state;11;10;31;3;9;100;0,79;0,71;0;0,19;27,4;27,4;2,46;1,69
6;Elevator;transition;11;10;31;14;26;100;0,82;1,49;0;0,27;27,4;27,4;3,4;2,58
6;Elevator;pair;11;10;31;55;175;100;0,56;0,7;4,67;1,02;29,4;29,4;9,38;6,95
6;Elevator;state;12;12;30;3;13;100;1,09;0,7;0;0,19;29,4;29,4;2,75;1,98
6;Elevator;transition;12;12;30;9;24;100;0,77;1,64;0;0,39;30,4;30,4;3,52;2,8
6;Elevator;pair;12;12;30;55;185;100;0,76;0,53;4,3;1,11;31,4;31,4;8,64;6,7
6;Elevator;state;13;8;23;3;7;100;0,58;0,64;0;0,09;32,4;32,4;1,99;1,31
6;Elevator;transition;13;8;23;12;20;100;0,56;1,25;0;0,23;32,4;32,4;2,83;2,03
6;Elevator;pair;13;8;23;31;89;100;0,71;0,39;2,38;0,59;33,4;33,4;5,85;4,07
6;Elevator;state;14;7;20;3;7;100;0,58;0,63;0;0,07;33,4;33,4;1,83;1,28
6;Elevator;transition;14;7;20;10;18;100;0,52;1,05;0;0,17;33,4;33,4;2,31;1,74
6;Elevator;pair;14;7;20;27;75;100;0,48;0,35;1,68;0,48;34,4;34,4;4,28;2,99
6;Elevator;state;15;10;31;3;9;100;0,97;0,89;0;0,1;35,4;35,4;2,47;1,96
6;Elevator;transition;15;10;31;14;26;100;0,7;1,78;0;0,32;35,4;35,4;3,48;2,79
6;Elevator;pair;15;10;31;56;177;100;0,67;0,61;3,95;1,2;36,4;37,4;8,64;6,43
6;Elevator;state;16;10;31;3;9;100;0,7;0,75;0;0,15;37,4;37,4;2,21;1,6
6;Elevator;transition;16;10;31;14;26;100;0,67;1,44;0;0,31;37,4;37,4;3,1;2,41
6;Elevator;pair;16;10;31;57;179;100;0,63;0,66;4;1,12;38,4;39,4;8,63;6,41
6;Elevator;state;17;7;20;3;7;100;0,66;0,6;0;0,06;39,4;39,4;1,82;1,32
6;Elevator;transition;17;7;20;10;18;100;0,48;0,99;0;0,19;39,4;40,4;2,23;1,66
6;Elevator;pair;17;7;20;27;75;100;0,49;0,3;1,52;0,46;40,4;40,4;4,15;2,78
6;Elevator;state;18;7;20;3;7;100;0,53;0,53;0;0,06;41,4;41,4;1,58;1,12
6;Elevator;transition;18;7;20;10;18;100;0,46;0,92;0;0,16;41,4;41,4;2,1;1,55
6;Elevator;pair;18;7;20;27;75;100;0,49;0,31;1,58;0,47;42,4;42,4;4,11;2,84
6;Elevator;state;19;10;33;3;9;100;0,6;0,71;0;0,07;42,4;42,4;1,85;1,39
6;Elevator;transition;19;10;33;15;28;100;0,82;1,4;0;0,32;42,4;43,4;3,26;2,53
6;Elevator;pair;19;10;33;67;212;100;0,7;0,62;4,75;1,2;44,4;44,4;9,43;7,26
6;Elevator;state;20;10;31;3;9;100;0,84;1,03;0;0,1;45,4;45,4;2,55;1,97
6;Elevator;transition;20;10;31;14;26;100;0,49;1,3;0;0,27;45,4;45,4;2,74;2,05
6;Elevator;pair;20;10;31;55;175;100;0,52;0,55;3,61;0,99;46,4;47,4;7,81;5,67
6;Elevator;state;21;9;26;3;9;100;0,57;0,95;0;0,08;47,4;47,4;2,43;1,6
6;Elevator;transition;21;9;26;10;22;100;0,6;1,08;0;0,19;47,4;47,4;2,48;1,87
6;Elevator;pair;21;9;26;47;144;100;0,71;0,47;2,9;0,8;48,4;48,4;6,78;4,88
6;Elevator;state;22;8;23;3;7;100;0,49;0,57;0;0,06;49,4;49,4;2,17;1,13
6;Elevator;transition;22;8;23;12;20;100;0,4;0,93;0;0,18;49,4;49,4;2,07;1,52
6;Elevator;pair;22;8;23;31;89;100;0,39;0,36;1,83;0,46;50,4;50,4;4,37;3,03
6;Elevator;state;23;9;27;3;9;100;0,49;0,53;0;0,07;50,4;50,4;1,51;1,09
6;Elevator;transition;23;9;27;10;23;100;0,42;1,02;0;0,22;51,4;51,4;2,15;1,66
6;Elevator;pair;23;9;27;56;174;100;0,45;0,48;3,29;0,95;52,4;52,4;6,84;5,17
6;Elevator;state;24;7;21;3;7;100;0,45;0,51;0;0,05;52,4;52,4;1,5;1,01
6;Elevator;transition;24;7;21;10;19;100;0,43;0,88;0;0,17;53,4;53,4;2,03;1,49
6;Elevator;pair;24;7;21;33;96;100;0,44;0,31;1,71;0,49;53,4;54,4;4,16;2,95
6;Elevator;state;25;9;27;3;9;100;0,44;0,46;0;0,06;54,4;54,4;1,33;0,95
6;Elevator;transition;25;9;27;10;23;100;0,42;0,94;0;0,18;54,4;54,4;2,04;1,55
6;Elevator;pair;25;9;27;56;174;100;0,43;0,54;3,27;0,68;55,4;6,06;8,36;4,93
6;Elevator;state;26;8;23;3;8;100;0,36;0,34;0;0,04;6,06;6,06;1,07;0,75
6;Elevator;transition;26;8;23;12;20;100;0,27;0,74;0;0,15;6,06;7,06;1,57;1,16
6;Elevator;pair;26;8;23;31;89;100;0,28;0,24;1,32;0,34;7,06;7,06;3,07;2,18
6;Elevator;state;27;7;20;3;7;100;0,3;0,84;0;0,05;8,06;8,06;1,56;1,19
6;Elevator;transition;27;7;20;10;18;100;0,24;0,59;0;0,11;8,06;8,06;1,3;0,94
6;Elevator;pair;27;7;20;27;75;100;0,25;0,19;1;0,28;9,06;9,06;2,48;1,72
6;Elevator;state;28;8;25;3;7;100;0,27;0,31;0;0,05;9,06;9,06;0,92;0,63
6;Elevator;transition;28;8;25;13;22;100;0,25;0,67;0;0,23;9,06;10,06;1,52;1,15
6;Elevator;pair;28;8;25;37;110;100;0,27;0,31;1,62;0,41;10,06;11,06;3,56;2,61
6;Elevator;state;29;10;31;3;11;100;0,32;0,45;0;0,06;11,06;11,06;1,29;0,82
6;Elevator;transition;29;10;31;14;26;100;0,36;0,86;0;0,19;11,06;11,06;1,8;1,41
6;Elevator;pair;29;10;31;55;175;100;0,29;0,41;2,54;0,71;12,06;13,06;5,24;3,95
6;Elevator;state;30;7;20;3;7;100;0,42;0,3;0;0,04;13,06;13,06;1,08;0,77
6;Elevator;transition;30;7;20;10;18;100;0,22;0,54;0;0,11;13,06;13,06;1,19;0,87
6;Elevator;pair;30;7;20;27;75;100;0,27;0,23;1,22;0,31;14,06;14,06;2,85;2,03
6;Elevator;state;31;9;26;3;9;100;0,31;0,33;0;0,06;14,06;14,06;1,05;0,69
6;Elevator;transition;31;9;26;10;22;100;0,28;0,66;0;0,14;15,06;15,06;1,45;1,07
6;Elevator;pair;31;9;26;48;146;100;0,27;0,31;2,18;0,58;16,06;16,06;4,42;3,33
6;Elevator;state;32;9;26;3;9;100;0,31;0,37;0;0,06;16,06;16,06;1,09;0,74
6;Elevator;transition;32;9;26;10;22;100;0,28;0,68;0;0,15;17,06;17,06;1,55;1,11
6;Elevator;pair;32;9;26;47;144;100;0,27;0,32;2,07;0,57;18,06;18,06;4,36;3,22
6;Elevator;state;33;9;27;3;9;100;0,41;0,39;0;0,06;18,06;18,06;1,23;0,85
6;Elevator;transition;33;9;27;10;23;100;0,29;0,66;0;0,14;19,06;19,06;1,41;1,09
6;Elevator;pair;33;9;27;56;174;100;0,26;0,35;2,42;0,71;20,06;20,06;4,81;3,74
6;Elevator;state;34;9;26;3;9;100;0,3;0,42;0;0,06;20,06;20,06;1,07;0,77
6;Elevator;transition;34;9;26;10;22;100;0,3;0,68;0;0,14;21,06;21,06;1,45;1,12
6;Elevator;pair;34;9;26;48;146;100;0,27;0,29;2,01;0,59;22,06;22,06;4,19;3,16
6;Elevator;state;35;9;26;3;9;100;0,28;0,32;0;0,05;22,06;22,06;0,95;0,65
6;Elevator;transition;35;9;26;10;22;100;0,28;0,65;0;0,16;23,06;23,06;1,45;1,09
6;Elevator;pair;35;9;26;48;146;100;0,27;0,32;2,1;0,53;24,06;24,06;4,28;3,21
6;Elevator;state;36;9;26;3;9;100;0,28;0,3;0;0,06;24,06;24,06;0,97;0,64
6;Elevator;transition;36;9;26;10;22;100;0,26;0,66;0;0,15;25,06;25,06;1,41;1,06
6;Elevator;pair;36;9;26;48;146;100;0,26;0,29;2,01;0,54;26,06;26,06;4,15;3,1
6;Elevator;state;37;8;23;3;7;100;0,28;0,28;0;0,09;26,06;26,06;0,92;0,65
6;Elevator;transition;37;8;23;12;20;100;0,25;0,64;0;0,13;27,06;27,06;1,34;1,02
6;Elevator;pair;37;8;23;31;89;100;0,24;0,22;1,22;0,33;27,06;27,06;2,78;2,01
6;Elevator;state;38;10;31;3;11;100;0,29;0,32;0;0,05;28,06;28,06;0,91;0,66
6;Elevator;transition;38;10;31;14;26;100;0,26;0,83;0;0,2;28,06;28,06;1,67;1,29
6;Elevator;pair;38;10;31;57;179;100;0,27;0,35;2,63;0,76;29,06;30,06;5,11;4,01
6;Elevator;state;39;7;21;3;7;100;0,28;0,35;0;0,04;30,06;30,06;0,95;0,67
6;Elevator;transition;39;7;21;10;19;100;0,32;0,62;0;0,12;30,06;30,06;1,39;1,06
6;Elevator;pair;39;7;21;33;96;100;0,26;0,22;1,53;0,43;31,06;31,06;3,3;2,44
6;Elevator;state;40;10;33;3;11;100;0,34;0,39;0;0,06;32,06;32,06;1,1;0,79
