SPL Name;Operator;Coverage Budget Source;Products;Mean of per-product Killed Median;Mean of per-product Mutation Score Median(%);Mean of per-product Mutation Score P25(%);Mean of per-product Mutation Score P75(%);Aborted Walks sum
Syngovia;TransitionMissing;pair;400;133,6600;51,5894;50,2742;52,9542;0
Syngovia;ActionExchange;state;400;333,1825;17,8532;16,1284;19,5300;0
Syngovia;StateMissing;state;400;33,5975;49,3147;45,2351;52,5372;0
Syngovia;TransitionDestinationExchange;state;400;184,7900;26,9313;24,7723;28,8909;0
Syngovia;TransitionMissing;state;400;62,6900;24,2193;22,5524;25,4978;0
Syngovia;ActionExchange;transition;400;654,1750;35,0289;33,0655;36,7349;0
Syngovia;StateMissing;transition;400;48,4525;70,9754;67,2385;74,3950;0
Syngovia;TransitionDestinationExchange;transition;400;320,3900;46,6510;44,6361;48,5528;0
Syngovia;TransitionMissing;transition;400;109,4875;42,2529;40,4084;43,8621;0
Tesla;ActionExchange;pair;400;64,6425;95,5210;92,8080;97,7437;0
Tesla;StateMissing;pair;400;28,4000;100,0000;99,8542;100,0000;0
Tesla;TransitionDestinationExchange;pair;400;52,1450;89,3615;85,2494;92,1159;0
Tesla;TransitionMissing;pair;400;36,1275;94,3297;91,7763;96,0291;0
Tesla;ActionExchange;state;400;48,2375;76,5316;72,0699;80,5357;0
Tesla;StateMissing;state;400;27,0775;95,4280;93,3077;97,5966;0
Tesla;TransitionDestinationExchange;state;400;37,5950;68,2439;64,1689;72,0533;0
Tesla;TransitionMissing;state;400;30,2525;80,2036;77,5190;82,5070;0
Tesla;ActionExchange;transition;400;61,3425;92,2848;89,0086;94,9094;0
Tesla;StateMissing;transition;400;28,4000;100,0000;99,7687;100,0000;0
Tesla;TransitionDestinationExchange;transition;400;48,6000;84,9927;80,5303;87,8307;0
Tesla;TransitionMissing;transition;400;34,8950;91,5699;89,2292;93,1198;0
eMail;ActionExchange;pair;23;48,1739;98,0039;93,9926;99,9470;55
eMail;StateMissing;pair;23;7,3913;100,0000;99,1304;100,0000;55
eMail;TransitionDestinationExchange;pair;23;30,0870;91,4913;86,1587;96,5722;55
eMail;TransitionMissing;pair;23;15,1739;96,8813;91,1383;99,7930;55
eMail;ActionExchange;state;23;25,6957;53,5796;37,6765;69,4757;16
eMail;StateMissing;state;23;4,1304;56,1961;44,2187;64,2609;16
eMail;TransitionDestinationExchange;state;23;13,4348;41,7848;31,9674;50,4291;16
eMail;TransitionMissing;state;23;6,8696;44,4417;35,1552;54,4548;16
eMail;ActionExchange;transition;23;38,2174;78,8696;63,2230;86,5783;24
eMail;StateMissing;transition;23;5,9565;80,5487;65,7548;95,7743;24
eMail;TransitionDestinationExchange;transition;23;20,9565;64,2639;53,9148;73,5030;24
eMail;TransitionMissing;transition;23;10,9565;70,1770;57,5126;79,2983;24
