SPL Name;Operator;Coverage Type;Products;Total Mutants sum;Equivalent sum;Killed sum;Survived sum;Pooled Mutation Score(%)
StudentAttendanceSystem;ActionExchange;transition;2664;294503;0;294503;0;100,0000
StudentAttendanceSystem;StateMissing;transition;2664;58666;0;58666;0;100,0000
StudentAttendanceSystem;TransitionDestinationExchange;transition;2664;284588;71575;211709;1304;99,3878
StudentAttendanceSystem;TransitionMissing;transition;2664;113981;0;113981;0;100,0000
Syngovia;ActionExchange;family-baseline;400;747586;0;0;747586;0,0000
Syngovia;StateMissing;family-baseline;400;27328;0;0;27328;0,0000
Syngovia;TransitionDestinationExchange;family-baseline;400;476971;201923;0;275048;0,0000
Syngovia;TransitionMissing;family-baseline;400;103904;0;0;103904;0,0000
Syngovia;ActionExchange;pair;400;747586;0;747586;0;100,0000
Syngovia;StateMissing;pair;400;27328;0;27328;0;100,0000
Syngovia;TransitionDestinationExchange;pair;400;476971;201923;275048;0;100,0000
Syngovia;TransitionMissing;pair;400;103904;0;103904;0;100,0000
Syngovia;ActionExchange;state;400;747586;0;332266;415320;44,4452
Syngovia;StateMissing;state;400;27328;0;27328;0;100,0000
Syngovia;TransitionDestinationExchange;state;400;476971;201923;113341;161707;41,2077
Syngovia;TransitionMissing;state;400;103904;0;37625;66279;36,2113
Syngovia;ActionExchange;transition;400;747586;0;747586;0;100,0000
Syngovia;StateMissing;transition;400;27328;0;27328;0;100,0000
Syngovia;TransitionDestinationExchange;transition;400;476971;201923;254036;21012;92,3606
Syngovia;TransitionMissing;transition;400;103904;0;103904;0;100,0000
Tesla;ActionExchange;family-baseline;400;27308;0;0;27308;0,0000
Tesla;StateMissing;family-baseline;400;11360;0;0;11360;0,0000
Tesla;TransitionDestinationExchange;family-baseline;400;27308;3583;0;23725;0,0000
Tesla;TransitionMissing;family-baseline;400;15370;0;0;15370;0,0000
Tesla;ActionExchange;pair;400;27308;0;27308;0;100,0000
Tesla;StateMissing;pair;400;11360;0;11360;0;100,0000
Tesla;TransitionDestinationExchange;pair;400;27308;3583;23725;0;100,0000
Tesla;TransitionMissing;pair;400;15370;0;15370;0;100,0000
Tesla;ActionExchange;state;400;27308;0;19876;7432;72,7845
Tesla;StateMissing;state;400;11360;0;11360;0;100,0000
Tesla;TransitionDestinationExchange;state;400;27308;3583;14916;8809;62,8704
Tesla;TransitionMissing;state;400;15370;0;12407;2963;80,7222
Tesla;ActionExchange;transition;400;27308;0;27308;0;100,0000
Tesla;StateMissing;transition;400;11360;0;11360;0;100,0000
Tesla;TransitionDestinationExchange;transition;400;27308;3583;22500;1225;94,8367
Tesla;TransitionMissing;transition;400;15370;0;15370;0;100,0000
eMail;ActionExchange;family-baseline;23;1134;0;945;189;83,3333
