RunID;SPL Name;Coverage Type;Product Index;FTS States;FTS Transitions;Test Cases;Total Test Actions;Coverage(%);Projection Time(ms);Test Generation Time(ms);Transformation Time(ms);Test Execution Time(ms);Test Generation Peak Memory(MB);Test Execution Peak Memory(MB);Wall Clock Time(ms);Segment Sum Time(ms)
9;HockertyShirts;state;1;58;67;2;106;100;23,97;14,97;0;7,48;41,25;41,25;50,41;46,41
9;HockertyShirts;transition;1;58;67;7;67;100;6,54;24,07;0;7,02;43,25;44,25;40,28;37,63
9;HockertyShirts;pair;1;58;67;10;439;100;2,98;4,31;11,9;4,32;46,25;47,25;33,03;23,5
9;HockertyShirts;state;2;56;60;2;104;100;2,84;3,69;0;0,81;48,25;48,25;9,26;7,34
9;HockertyShirts;transition;2;56;60;3;60;100;27,86;6,35;0;1,65;12,03;13,03;38,05;35,86
9;HockertyShirts;pair;2;56;60;5;209;100;2,1;2,58;4,68;1,07;14,03;15,03;15,16;10,43
9;HockertyShirts;state;3;59;68;2;108;100;1,98;2,25;0;0,76;16,03;16,03;6,7;4,99
9;HockertyShirts;transition;3;59;68;7;68;100;2;6,32;0;0,97;18,03;18,03;10,67;9,28
9;HockertyShirts;pair;3;59;68;10;448;100;1,33;0,45;7,33;1,71;20,03;21,03;15,01;10,83
9;HockertyShirts;state;4;59;68;2;108;100;2,03;2,02;0;0,47;22,03;22,03;7,01;4,52
9;HockertyShirts;transition;4;59;68;7;68;100;1,5;5,38;0;1,24;24,03;25,03;9,17;8,12
9;HockertyShirts;pair;4;59;68;10;448;100;1,77;0,69;6,58;1,35;27,03;28,03;16,19;10,39
9;HockertyShirts;state;5;59;68;2;108;100;1,64;1,79;0;0,44;29,03;29,03;4,65;3,87
9;HockertyShirts;transition;5;59;68;7;68;100;1,83;5,53;0;1,58;30,03;31,03;10,07;8,94
9;HockertyShirts;pair;5;59;68;9;405;100;1,63;0,44;4,67;1,07;33,03;34,03;11,33;7,81
9;HockertyShirts;state;6;58;64;2;107;100;1,13;1,43;0;0,39;35,03;35,03;3,64;2,95
9;HockertyShirts;transition;6;58;64;5;64;100;1,26;4,31;0;0,77;37,03;37,03;7,41;6,34
9;HockertyShirts;pair;6;58;64;7;305;100;1,27;0,47;3,08;0,67;39,03;39,03;8,41;5,5
9;HockertyShirts;state;7;59;68;2;108;100;1,02;1,29;0;0,47;40,03;40,03;3,28;2,77
9;HockertyShirts;transition;7;59;68;7;68;100;1,12;4,44;0;0,86;42,03;43,03;7,25;6,42
9;HockertyShirts;pair;7;59;68;10;448;100;0,96;0,5;5,18;0,91;45,03;46,03;10,59;7,56
9;HockertyShirts;state;8;60;73;3;138;100;1,56;1,3;0;0,35;47,03;47,03;3,89;3,21
9;HockertyShirts;transition;8;60;73;10;73;100;1,38;5,05;0;0,85;49,03;50,03;8,09;7,28
9;HockertyShirts;pair;8;60;73;15;686;100;1,16;0,39;7,4;1,06;52,03;54,03;13,54;10,01
9;HockertyShirts;state;9;59;72;2;107;100;1,35;1,63;0;0,46;55,03;55,03;4,22;3,44
9;HockertyShirts;transition;9;59;72;10;72;100;1,8;5,69;0;1,26;57,03;57,03;9,68;8,75
9;HockertyShirts;pair;9;59;72;16;714;100;1,38;0,48;8,62;2,58;60,03;61,03;18,52;13,07
9;HockertyShirts;state;10;59;72;3;136;100;1,67;1,64;0;0,36;62,03;63,03;4,32;3,67
9;HockertyShirts;transition;10;59;72;10;72;100;1,38;6,21;0;1,26;64,03;65,03;9,71;8,85
9;HockertyShirts;pair;10;59;72;15;672;100;1,24;0,67;9,75;2,12;68,03;69,03;18,52;13,78
9;HockertyShirts;state;11;60;73;2;109;100;1,74;2,2;0;0,28;70,03;70,03;5,05;4,22
9;HockertyShirts;transition;11;60;73;10;73;100;27,21;7,63;0;1,19;13,48;14,48;37,45;36,03
9;HockertyShirts;pair;11;60;73;16;729;100;1,43;0,61;10,1;1,98;16,48;18,48;18,73;14,12
9;HockertyShirts;state;12;60;73;3;138;100;1,45;1,85;0;0,38;19,48;19,48;4,45;3,68
9;HockertyShirts;transition;12;60;73;10;73;100;1,32;6,96;0;1,22;21,48;21,48;10,69;9,51
9;HockertyShirts;pair;12;60;73;15;686;100;1,45;0,61;9,19;1,75;24,48;25,48;17,93;13,01
9;HockertyShirts;state;13;59;72;3;136;100;1,55;1,62;0;0,36;26,48;26,48;4,32;3,53
9;HockertyShirts;transition;13;59;72;10;72;100;1,42;6,8;0;1,21;28,48;29,48;10,6;9,43
9;HockertyShirts;pair;13;59;72;15;672;100;1,26;0,59;9,12;1,39;31,48;32,48;17,11;12,36
9;HockertyShirts;state;14;59;72;3;136;100;1,24;1,55;0;0,46;34,48;34,48;4,09;3,24
9;HockertyShirts;transition;14;59;72;10;72;100;1,28;7,05;0;0,99;35,48;36,48;10,51;9,31
9;HockertyShirts;pair;14;59;72;15;672;100;1,27;0,54;9,02;1,24;39,48;40,48;16,03;12,08
9;HockertyShirts;state;15;59;68;2;108;100;1,25;1,55;0;0,28;41,48;41,48;4,04;3,08
9;HockertyShirts;transition;15;59;68;7;68;100;5,4;5,95;0;0,78;43,48;43,48;13,19;12,12
9;HockertyShirts;pair;15;59;68;9;405;100;1,2;0,46;4,93;0,71;45,48;46,48;10,39;7,31
9;HockertyShirts;state;16;59;68;2;108;100;1,46;1,48;0;0,25;47,48;47,48;3,96;3,19
9;HockertyShirts;transition;16;59;68;7;68;100;1,29;5,32;0;0,77;49,48;49,48;8,5;7,38
9;HockertyShirts;pair;16;59;68;9;405;100;1,31;0,52;5,12;0,79;51,48;52,48;10,81;7,74
9;HockertyShirts;state;17;58;67;2;106;100;1,27;1,49;0;0,27;53,48;53,48;3,76;3,03
9;HockertyShirts;transition;17;58;67;7;67;100;1,24;5,81;0;0,77;55,48;55,48;8,82;7,82
9;HockertyShirts;pair;17;58;67;9;397;100;1,25;0,38;3,97;0,74;57,48;58,48;9,3;6,33
9;HockertyShirts;state;18;59;68;2;108;100;1,13;1,05;0;0,16;59,48;59,48;2,91;2,35
9;HockertyShirts;transition;18;59;68;7;68;100;0,91;4,25;0;1,6;61,48;61,48;7,79;6,76
9;HockertyShirts;pair;18;59;68;10;448;100;0,98;0,34;3,83;0,84;63,48;64,48;8,44;6
9;HockertyShirts;state;19;59;68;3;137;100;1,04;1,13;0;0,24;65,48;65,48;2,97;2,41
9;HockertyShirts;transition;19;59;68;7;68;100;0,96;3,39;0;0,56;67,48;67,48;5,63;4,9
9;HockertyShirts;pair;19;59;68;9;405;100;0,75;0,36;3,66;0,48;69,48;70,48;7,16;5,26
